file,system,user,assistant,tool,unknown,total
000ec3e1-1ae2-446b-b161-6c96fbde2cf7.json,1,1,45,44,0,91
00c56498-6133-4040-b51b-2a2856487862.json,1,1,21,20,0,43
0143fcee-f896-4e65-ab37-201e9da520f5.json,1,1,27,26,0,55
01ea0bd1-f7c9-46f4-8d0f-74af68a6bfca.json,1,1,85,84,0,171
021d1f45-8d67-4ce3-a478-3b7fa9609106.json,1,1,18,17,0,37
0304e5c8-8914-4cbb-b362-1daa1e85ced5.json,1,1,22,21,0,45
0335df78-30f7-4997-a2c8-6d623d916d98.json,1,1,31,36,0,69
03565502-bc20-485d-9bb8-bdecd3557af1.json,1,1,11,20,0,33
03fc877b-7afd-44b1-acd3-e43692a143f9.json,1,1,19,18,0,39
0469baab-bc68-4068-a1f8-91378c795c75.json,1,1,38,37,0,77
058788fa-5bcf-430a-9322-cdf8720552e5.json,1,1,36,42,0,80
06ef6f40-b1c6-4197-9201-88f613ddf03b.json,1,1,26,25,0,53
06ffe170-6f27-4288-a180-de2e04011386.json,1,1,63,73,0,138
07155c63-c385-4f23-bb0b-1d28bbcb13b7.json,1,1,25,24,0,51
072c2a13-2077-4640-a757-f224af8ea01f.json,1,1,45,44,0,91
0997946e-0c14-4397-b589-b40d0c9d5f36.json,1,1,33,39,0,74
09ee7264-38d1-4b18-8456-ecc3dc4ae477.json,1,1,22,21,0,45
0a478a41-4da3-4033-8e58-3fa69ab0c832.json,1,1,36,35,0,73
0aa5edbe-adf5-4a14-aa64-879c1a5c4821.json,1,1,27,26,0,55
0c6aa3dc-fe4a-497f-8a5d-6be8f9cb0c74.json,1,1,12,11,0,25
0cb33943-07e4-411b-a687-4ea0bf54d73b.json,1,1,20,30,0,52
0d8909a1-1343-4e40-90bb-f5cb8023bfde.json,1,1,48,47,0,97
0f131a21-1e21-4784-af5d-18964779d47c.json,1,1,19,22,0,43
0f79592e-4697-4891-9260-9e5e3a59c4d7.json,1,1,71,70,0,143
1052979d-22f5-4290-b25d-b48b6587b6aa.json,1,1,40,39,0,81
10cc91f2-ea7a-4d1e-803a-a9ce52fb87e8.json,1,1,49,48,0,99
111c07a8-6372-43e8-9ed6-1d5b1918c515.json,1,1,63,62,0,127
11eb62cc-aafb-48aa-b53a-24f3c04ba908.json,1,1,19,18,0,39
120640dc-6c8c-4bb7-8b7a-8ad8a8b3d595.json,1,1,16,15,0,33
12b859b2-4c86-4d8f-939f-94184551990f.json,1,1,17,16,0,35
1344a3bb-4e70-4a99-9acf-87ecb50651bf.json,1,1,21,20,0,43
135bce39-2a68-4151-aeea-156173cc84ad.json,1,1,22,21,0,45
13c8750b-92f0-4e12-a2c3-c1b7e4e6685c.json,1,1,59,58,0,119
13f8a79e-2162-4898-a090-fd7698b61fb8.json,1,1,19,18,0,39
148720a4-2f2d-4bfa-8952-74c6374cc7bf.json,1,1,22,21,0,45
14a5d090-f552-4c56-b039-4b18388c017e.json,1,1,37,40,0,79
14a8805b-9c51-43dd-b9a6-7b0754684f25.json,1,1,41,40,0,83
1587a55c-fe60-4450-be22-412a12d2ab36.json,1,1,19,18,0,39
1608c4cc-f407-4fa9-a6f2-7f25b71c1229.json,1,1,44,43,0,89
1610fd7c-a7db-4948-8567-6dd07c951fde.json,1,1,26,25,0,53
17a250d7-67fa-4677-b0d5-43f74277df67.json,1,1,31,30,0,63
17a66f2d-c7fa-45d6-a34b-5a791c2ccbde.json,1,1,57,56,0,115
17d4ff0b-b51c-485a-9d6c-6e7b9bae763a.json,1,1,17,16,0,35
1816f4ae-cc3e-4970-b556-966c8bbc0051.json,1,1,31,30,0,63
187b43ea-be58-48cb-8d67-94af4b36aeac.json,1,1,11,27,0,40
18946241-2f32-47af-8156-ddd0cf46f28e.json,1,1,30,29,0,61
18b1109c-62de-4f91-9b6f-626802d568f3.json,1,1,28,27,0,57
19d37cce-dce4-4887-9b50-5c6376a01410.json,1,1,68,67,0,137
19d4cfa6-ce98-4b67-972f-8d0cc968ee7f.json,1,1,41,40,0,83
1a9babbd-6f9b-4945-8ca8-4aa92cd40641.json,1,1,22,21,0,45
1b81726e-1eee-4e38-8fd6-872b65afa79e.json,1,1,35,34,0,71
1b9f1a17-6504-440b-a120-27e5c6cfbd2e.json,1,1,22,21,0,45
1bb29a6e-0f25-4388-ba49-7acff75acf20.json,1,1,21,20,0,43
1bce181d-ee34-4e30-9c95-165e7824791b.json,1,1,16,15,0,33
1bdae4fe-9f83-4ad7-87bd-04040ec404f7.json,1,1,35,48,0,85
1ca4d881-93a3-4fd7-82f5-de4b287a0892.json,1,1,22,21,0,45
1cdb2eb8-5cc2-4725-9665-e7b4f07f1791.json,1,1,26,25,0,53
1ce7e84a-ed91-4959-9e81-c7085bbf6168.json,1,1,43,42,0,87
1d413700-29e3-4c00-b2a1-53720c3dac3a.json,1,1,37,47,0,86
1d617f7f-50de-42bf-a30a-f1990fd3e99e.json,1,1,35,34,0,71
1d822af2-e71a-41eb-9404-0945b150f2a5.json,1,1,34,33,0,69
1e2a6ce2-8f49-4631-a3f1-de46549f892c.json,1,1,72,71,0,145
